ENTIDAD, YEAR, MES, TOTAL, FUENTE
1,2015,1,578,RENAPO 
1,2015,2,460,RENAPO 
1,2015,3,502,RENAPO 
1,2015,4,481,RENAPO 
1,2015,5,455,RENAPO 
1,2015,6,419,RENAPO 
1,2015,7,428,RENAPO 
1,2015,8,404,RENAPO 
1,2015,9,446,RENAPO 
1,2015,10,504,RENAPO 
1,2015,11,454,RENAPO 
1,2015,12,568,RENAPO 
1,2016,1,562,RENAPO 
1,2016,2,605,RENAPO 
1,2016,3,561,RENAPO 
1,2016,4,472,RENAPO 
1,2016,5,542,RENAPO 
1,2016,6,390,RENAPO 
1,2016,7,414,RENAPO 
1,2016,8,428,RENAPO 
1,2016,9,475,RENAPO 
1,2016,10,458,RENAPO 
1,2016,11,452,RENAPO 
1,2016,12,567,RENAPO 
1,2017,1,543,RENAPO 
1,2017,2,556,RENAPO 
1,2017,3,549,RENAPO 
1,2017,4,458,RENAPO 
1,2017,5,542,RENAPO 
1,2017,6,507,RENAPO 
1,2017,7,495,RENAPO 
1,2017,8,506,RENAPO 
1,2017,9,468,RENAPO 
1,2017,10,468,RENAPO 
1,2017,11,530,RENAPO 
1,2017,12,630,RENAPO 
1,2018,1,658,RENAPO 
1,2018,2,499,RENAPO 
1,2018,3,478,RENAPO 
1,2018,4,471,RENAPO 
1,2018,5,517,RENAPO 
1,2018,6,468,RENAPO 
1,2018,7,505,RENAPO 
1,2018,8,471,RENAPO 
1,2018,9,490,RENAPO 
1,2018,10,471,RENAPO 
1,2018,11,540,RENAPO 
1,2018,12,612,RENAPO 
1,2019,1,731,RENAPO 
1,2019,2,610,RENAPO 
1,2019,3,591,RENAPO 
1,2019,4,538,RENAPO 
1,2019,5,569,RENAPO 
1,2019,6,501,RENAPO 
1,2019,7,494,RENAPO 
1,2019,8,471,RENAPO 
1,2019,9,475,RENAPO 
1,2019,10,517,RENAPO 
1,2019,11,513,RENAPO 
1,2019,12,684,RENAPO 
1,2020,1,654,RENAPO 
1,2020,2,576,RENAPO 
1,2020,3,524,RENAPO 
1,2020,4,482,RENAPO 
1,2020,5,540,RENAPO 
1,2020,6,568,RENAPO 
1,2020,7,727,RENAPO 
1,2020,8,794,RENAPO 
1,2020,9,857,RENAPO 
1,2020,10,956,RENAPO 
1,2020,11,1016,RENAPO 
2,2015,1,1532,RENAPO 
2,2015,2,1343,RENAPO 
2,2015,3,1360,RENAPO 
2,2015,4,1297,RENAPO 
2,2015,5,1346,RENAPO 
2,2015,6,1270,RENAPO 
2,2015,7,1238,RENAPO 
2,2015,8,1317,RENAPO 
2,2015,9,1320,RENAPO 
2,2015,10,1371,RENAPO 
2,2015,11,1451,RENAPO 
2,2015,12,1550,RENAPO 
2,2016,1,1728,RENAPO 
2,2016,2,1659,RENAPO 
2,2016,3,1530,RENAPO 
2,2016,4,1310,RENAPO 
2,2016,5,1383,RENAPO 
2,2016,6,1363,RENAPO 
2,2016,7,1370,RENAPO 
2,2016,8,1418,RENAPO 
2,2016,9,1360,RENAPO 
2,2016,10,1313,RENAPO 
2,2016,11,1357,RENAPO 
2,2016,12,1426,RENAPO 
2,2017,1,1446,RENAPO 
2,2017,2,1523,RENAPO 
2,2017,3,1743,RENAPO 
2,2017,4,1526,RENAPO 
2,2017,5,1477,RENAPO 
2,2017,6,1454,RENAPO 
2,2017,7,1450,RENAPO 
2,2017,8,1509,RENAPO 
2,2017,9,1459,RENAPO 
2,2017,10,1498,RENAPO 
2,2017,11,1502,RENAPO 
2,2017,12,1277,RENAPO 
2,2018,1,1908,RENAPO 
2,2018,2,1355,RENAPO 
2,2018,3,1402,RENAPO 
2,2018,4,1607,RENAPO 
2,2018,5,1722,RENAPO 
2,2018,6,1610,RENAPO 
2,2018,7,1761,RENAPO 
2,2018,8,1696,RENAPO 
